domain,pnas,populist,media_bias_fact_check,twitterfakenewslabel,opensource
canal.fr,commercial broadcaster,,,,
canarias7.es,quality newspaper/magazine,,,,
capital.fr,quality newspaper/magazine,,,,
casoaislado.com,hyperpartisan media,,,,
cataniatoday.it,quality newspaper/magazine,,,,
ccma.cat,public broadcaster,,,,
challenges.fr,quality newspaper/magazine,,,,
cnews.fr,digital-born news outlet,,,,
cope.es,commercial broadcaster,,,,
corriere.it,quality newspaper/magazine,,,,
corriereadriatico.it,quality newspaper/magazine,,,,
courrierdelouest.fr,quality newspaper/magazine,,,,
courrierinternational.com,quality newspaper/magazine,,,,
ctxt.es,digital-born news outlet,,,,
cuatro.com,commercial broadcaster,,,,
daserste.de,public broadcaster,public broadcaster,,,
derwesten.de,digital-born news outlet,online only media ,,,
diaridegirona.cat,quality newspaper/magazine,,,,
diaridetarragona.com,quality newspaper/magazine,,,,
diariocordoba.com,quality newspaper/magazine,,,,
diariodeibiza.es,quality newspaper/magazine,,,,
diariodeleon.es,quality newspaper/magazine,,,,
diariodemallorca.es,quality newspaper/magazine,,,,
diariodenavarra.es,quality newspaper/magazine,,,,
diariodesevilla.es,quality newspaper/magazine,,,,
diarioinformacion.com,quality newspaper/magazine,,,,
diariojaen.es,quality newspaper/magazine,,,,
diariosur.es,quality newspaper/magazine,,,,
diariovasco.com,quality newspaper/magazine,,,,
digitalsevilla.com,hyperpartisan media,,,,
dw.com,public broadcaster,public broadcaster,leftcenter,green,
ecodibergamo.it,quality newspaper/magazine,,,,
economiadigital.es,digital-born news outlet,,,,
elboletin.com,digital-born news outlet,,,,
elcomercio.es,quality newspaper/magazine,,,,
elconfidencial.com,digital-born news outlet,,,,
elconfidencialdigital.com,digital-born news outlet,,,,
elcorreo.com,quality newspaper/magazine,,,,
elcorreodemadrid.com,hyperpartisan media,,,,
elcorreogallego.es,quality newspaper/magazine,,,,
elcorreoweb.es,quality newspaper/magazine,,,,
eldia.es,quality newspaper/magazine,,,,
eldiario.es,digital-born news outlet,,,,
eldiariomontanes.es,quality newspaper/magazine,,,,
eldigitalcastillalamancha.es,digital-born news outlet,,,,
eleconomista.es,quality newspaper/magazine,,,,
elmundo.es,quality newspaper/magazine,,,,
elnortedecastilla.es,quality newspaper/magazine,,,,
elperiodico.com,quality newspaper/magazine,,,,
elperiodicoextremadura.com,quality newspaper/magazine,,,,
elplural.com,hyperpartisan media,,,,
elpuntavui.cat,quality newspaper/magazine,,,,
eltiempo.com,quality newspaper/magazine,,,,
esdiario.com,hyperpartisan media,,,,
estrelladigital.es,digital-born news outlet,,,,
euro-actu.fr,quality newspaper/magazine,,,,
